website,full_name,full_bio,age,hometown,education,experience,photo_url
http://1500dental.com/our-team,,,,,,,
http://18thstreetdental.com/index.php/meet-the-doctor,Dr. Faisal Mir,"Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a Certified Invisalign Preferred Provider (clear braces). Dr. Mir values the importance of high quality patient care and satisfaction. He has extensive knowledge and experience using state of the art technology and techniques to ensure his patient’s dental visit is a pleasant one. Dr. Mir is a member of the Academy of General Dentistry, American Dental Association, DC Dental Society, and Virginia Dental Association. He continues to attend educational seminars to provide his patients with the latest treatment options using evidenced-based and cutting-edge technological advances and methods. For fun, he enjoys hiking, traveling, spending time with his family and getting to know different cultures around the world. We are accessible via the Blue, Silver and Orange Lines. We are conveniently located a block away from Farragut West Station. The 90 and 96 Metrobus stops directly in front of our office on 18th Street. Monday-Friday 7:30am To 4pm We are accessible via the Green and Red Lines.  The closest stations are U St./Cardozo (green line) and Duont Circle (red line).  Both stations are about a 20 minute walk from our office. Monday-Friday 7:30am To 4pm",,"We are accessible via the Blue, Silver and Orange Lines. We are conveniently located a block away from Farragut West Station. | We are accessible via the Green and Red Lines.  The closest stations are U St./Cardozo (green line) and Duont Circle (red line).  Both stations are about a 20 minute walk from our office.","Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a","Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a | Dr. Mir is a member of the Academy of General Dentistry, American Dental Association, DC Dental Society, and Virginia Dental Association. He continues to attend educational seminars to provide his patients with the latest treatment options using evidenced-based and cutting-edge technological advances and methods.",
https://1westparkdental.com/dental-insurance-providers,Dr. Shahnaz Tambawala,"Dr. Steve Yoo received his Doctor of Dental Surgery degree from the University of the Pacific School of Dentistry in San Francisco. He prides himself on his commitment to quality work and ability to educate patients about their dental needs. He enjoys early morning workouts, trying â hopefully not butchering â new recipes, racquet sports and classical music.",,"Dr. Steve Yoo received his Doctor of Dental Surgery degree from the University of the Pacific School of Dentistry in San Francisco. He prides himself on his commitment to quality work and ability to educate patients about their dental needs. He enjoys early morning workouts, trying â hopefully not butchering â new recipes, racquet sports and classical music.","Dr. Steve Yoo received his Doctor of Dental Surgery degree from the University of the Pacific School of Dentistry in San Francisco. He prides himself on his commitment to quality work and ability to educate patients about their dental needs. He enjoys early morning workouts, trying â hopefully not butchering â new recipes, racquet sports and classical music.",,
https://1westparkdental.com/dental-insurance-providers,Dr. Steve Yoo,"Dr. Tambawala is a compassionate General Dentist with over a decade of clinical expertise. A graduate from the University of Southern California, she is recognized for her gentle, patient-focused approach. Skilled in multiple facets of dentistry, she combines advanced technology with personalized treatment to help patients feel informed, comfortable, and confident in their smiles.",,"Dr. Tambawala is a compassionate General Dentist with over a decade of clinical expertise. A graduate from the University of Southern California, she is recognized for her gentle, patient-focused approach. Skilled in multiple facets of dentistry, she combines advanced technology with personalized treatment to help patients feel informed, comfortable, and confident in their smiles.","Dr. Tambawala is a compassionate General Dentist with over a decade of clinical expertise. A graduate from the University of Southern California, she is recognized for her gentle, patient-focused approach. Skilled in multiple facets of dentistry, she combines advanced technology with personalized treatment to help patients feel informed, comfortable, and confident in their smiles.",,
https://1westparkdental.com/dental-insurance-providers,Dr. Wonhil Hwang,"Dr. Malika Madaan graduated from Loma Linda School of dentistry in Southern California. Before moving to USA, Dr. Madaan practiced as a General Dentist in India. Dr. Madaan's Philosophy revolves around Compassionately addressing patients need through conservative dentistry and also by promoting oral health awareness. She believes in developing strong Patient- doctor relationship which helps patients to be more comfortable and less anxious during any kind of dental procedure. Dr. Madaan is also Invisalign certified and is passionate to help patients achieve their beautiful smile. She is also active member of ADA (American Dental Association) , CDA (California Dental Association) and SCCDS ( Santa Clara County Dental Society) She loves to serve the community and participates in Give Kids a smile program. Outside the work she likes spending time with her kids and husband.",,"Dr. Malika Madaan graduated from Loma Linda School of dentistry in Southern California. Before moving to USA, Dr. Madaan practiced as a General Dentist in India. Dr. Madaan's Philosophy revolves around Compassionately addressing patients need through conservative dentistry and also by promoting oral health awareness. She believes in developing strong Patient- doctor relationship which helps patients to be more comfortable and less anxious during any kind of dental procedure.","Dr. Malika Madaan graduated from Loma Linda School of dentistry in Southern California. Before moving to USA, Dr. Madaan practiced as a General Dentist in India. Dr. Madaan's Philosophy revolves around Compassionately addressing patients need through conservative dentistry and also by promoting oral health awareness. She believes in developing strong Patient- doctor relationship which helps patients to be more comfortable and less anxious during any kind of dental procedure.","Dr. Malika Madaan graduated from Loma Linda School of dentistry in Southern California. Before moving to USA, Dr. Madaan practiced as a General Dentist in India. Dr. Madaan's Philosophy revolves around Compassionately addressing patients need through conservative dentistry and also by promoting oral health awareness. She believes in developing strong Patient- doctor relationship which helps patients to be more comfortable and less anxious during any kind of dental procedure. | Dr. Madaan is also Invisalign certified and is passionate to help patients achieve their beautiful smile. She is also active member of ADA (American Dental Association) , CDA (California Dental Association) and SCCDS ( Santa Clara County Dental Society) She loves to serve the community and participates in Give Kids a smile program.",
https://1westparkdental.com/dental-insurance-providers,Dr. Malika Madaan,"Dr. Wonil Hwang graduated college of dentistry Chosun University in South Korea 1997. He practiced in Seoul for 6 years. He started his career in United States in Western Dental services at 2004, and provided dental care to central valley people for 20 years. He is father of two children and loves movies. He is big fan of Haruki. Email: WestParkDentalCare1315@gmail.com 1315 S. Winchester Blvd San Jose, CA 95128 Phone: 408-866-1819 Address: Hours: Sunday: Closed Monday: 8:45am-6pm Tuesday: 8:45am-6pm Wednesday: 8:45am-6pm Thursday: 8:45am-6pm Friday: 8:45am-5pm Saturday: 8:45am-5pm Messaging Privacy Policy Terms and Conditions",54,,"Dr. Wonil Hwang graduated college of dentistry Chosun University in South Korea 1997. He practiced in Seoul for 6 years. He started his career in United States in Western Dental services at 2004, and provided dental care to central valley people for 20 years. He is father of two children and loves movies. He is big fan of Haruki.","Dr. Wonil Hwang graduated college of dentistry Chosun University in South Korea 1997. He practiced in Seoul for 6 years. He started his career in United States in Western Dental services at 2004, and provided dental care to central valley people for 20 years. He is father of two children and loves movies. He is big fan of Haruki.",
https://www.202dentalcare.com/meet-dr-mesfin,,,,,,,
http://23smiles.com/team,,,,,,,
http://360familydental.com/team,,,,,,,
http://3stardentalcenters.com/team,,,,,,,
