website,full_name,full_bio,age,hometown,education,experience,photo_url
https://18thstreetdental.com/index.php/meet-the-doctor,Dr. Faisal Mir,"Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a Certified Invisalign Preferred Provider (clear braces).<br /> <br />Dr. Mir values the importance of high quality patient care and satisfaction. He has extensive knowledge and experience using state of the art technology and techniques to ensure his patient’s dental visit is a pleasant one.",,,"Howard University College of Dentistry, College of Physicians & Surgeons of Columbia University","General dentist focusing on cosmetic, and restorative dentistry",/images/meetdoctor/IMGP0218.jpg
http://www.paramountfamilydental.com/staff,Paramount Family Dentistry Staff,,,,,,https://www.paramountfamilydental.com/wp-content/uploads/2021/09/staff-row-1.jpg?id=1574
http://www.paramountfamilydental.com/staff,Dr. John Hisel,"Dr. Hisel was raised in the Boise area after moving with his family from California at age 4. He attended Boise schools graduating in 1978 from Boise High School along with his high school sweetheart, Terri. They were married shortly after high school and celebrate 46 years of marriage in March 2025! Together they have 2 married children and 6 grandchildren. Dr. Hisel and Terri make their home in Kuna along with a blind Springer Spaniel named Pippa and 2 horses.",,Boise,"College of Idaho (Cum Laude in 1982), Creighton’s Boyne School of Dental Science (Suma Cum Laude in 1986)","General Practice Residency Training at Offutt Air Force Base Nebraska, 2 years of General Duty at Fairchild Air Force Base, WA, Private Practice in Boise in August 1989",https://www.paramountfamilydental.com/wp-content/uploads/2023/01/John-Hisel-200x200.webp
http://www.paramountfamilydental.com/staff,Dr. Eric Hoidal,"Dr. Eric Hoidal has been with Paramount Family Dental since July 2008. He earned his undergraduate degree in Chemistry from the University of Oregon in 2003. While at Oregon, Dr. Hoidal was a member of the Dean’s list and received the 2003 Analytical Chemistry Award. He was also an active member of Campus Crusade for Christ. Dr. Hoidal was accepted into the Idaho Dental Education Program and attended his first year of dental school at Idaho State University. He then moved to Omaha, Nebraska to finish his final three years at Creighton University’s Boyne School of Dental Science.",,Boise,"University of Oregon, Idaho State University, Creighton University’s Boyne School of Dental Science","Member of the American Dental Association, the Idaho State Dental Association and the Southwest Idaho Dental Society",https://www.paramountfamilydental.com/wp-content/uploads/2021/09/Eric-200x200.jpg
http://www.paramountfamilydental.com/staff,Dr. Hisel,"also has served our state as a consultant to the Idaho State Board of Dentistry. Dr. Hisel represented Idaho, Montana, Alaska, Oregon, and Washington on the Council of Government Affairs for the American Dental Association, and currently serves as a member of the Board of Trustees for the American Dental Association.",,,,"Consultant to the Idaho State Board of Dentistry, Member of the Board of Trustees for the American Dental Association",
http://www.paramountfamilydental.com/staff,Dr. Daniel Ackerman,"Dr. Daniel Ackerman joined Paramount Family Dental in November 2023 meeting many of our patients while in the office 1-2 days per week. It didn’t take us long to figure out that he was “great fit” for our team members and our patients, and we were thrilled to have him join our practice full time in July 2024. Prior to joining our team, Dr. Ackerman spent 5 years practicing with his father in our valley. Dr. Ackerman is grateful to be a part of our amazing team and feels very much at home at Paramount Family Dental! He and his wife, Danielle, are high school sweethearts and were married in 2015. They live in Boise with their 2 young daughters Amelia and Adelyn, as well as their golden doodle Sampson and their cat Peanut. When he’s not taking care of patients, Dr. Ackerman naturally stays busy with his young family and enjoys snowboarding, mountain biking, and snow shoeing. He and Danielle both love the outdoors and enjoy spending time camping and hiking together.",,Meridian,Northern Arizona University (Biochemistry) and Oregon Health and Science University School of Dentistry,5 years practicing with his father in our valley,https://www.paramountfamilydental.com/wp-content/uploads/2024/11/danielackerman1-scaled-200x200.jpg
http://www.paramountfamilydental.com/staff,Erika Colwell,"Erika has been in dentistry for 39 years. She graduated as a certified dental assistant from American Institute of Dental Technology in 1983. Erika is a returning employee of Paramount Family Dental. She first started with us back in 1995 and worked for 12 years, and returned in September 2022. She enjoys working with the patients and helping them have a pleasant dental experience. Erika has lived in Boise for 32 years. She enjoys running, skiing, and yoga.",39,Boise,American Institute of Dental Technology,39 years in dentistry,https://www.paramountfamilydental.com/wp-content/uploads/2023/01/ErikaColwell-10250-scaled-200x200.webp
http://www.paramountfamilydental.com/staff,Madonna Day,Madonna joined our team in April 2022 after taking 10 years away from the dental field. She wanted to get back into dentistry to serve and help people. She is married with two children and enjoys her time with her family.,unknown,unknown,unknown,10 years away from dentistry,https://www.paramountfamilydental.com/wp-content/uploads/2023/01/Madonna-Day-5873-scaled-200x200.webp
http://www.paramountfamilydental.com/staff,Corinna,"Corinna is a Boise native. She attended the Boise State University Dental Assisting Program and graduated in 1984. She married her high school sweetheart in 1993. They have a fur baby, a Pomeranian. She chose a career that she loves, and it is her pleasure to serve our patients. Family is a very important part of her life. She loves spending time outdoors, working in her yard, traveling, and many other hobbies.",unknown,Boise,Boise State University Dental Assisting Program,unknown,https://www.paramountfamilydental.com/wp-content/uploads/2021/09/Corinna-200x200.jpg
http://www.paramountfamilydental.com/staff,Leah Beard,"Leah has served in the dental community on the administrative side for 7 years and joined our team in 2022. Her adventures have taken her from Idaho to Nevada to Texas to Colorado and back, but she and her husband have called Idaho home since 1991. She is the proud mother of three sons, all of whom have joined the Armed Services, has three wonderful daughters in laws, and has three beautiful grandchildren, and one on the way!!! Leah has always been passionate about three things: God, her people, and serving others. You can find her and her husband enjoying the great outdoors in the Boise area, crafting, reading, or relaxing with feet in the water and deep in a Bible study.",unknown,Idaho,unknown,7 years in dental administration,https://www.paramountfamilydental.com/wp-content/uploads/2023/01/LeahBeard-10040-scaled-200x200.webp
