website,full_name,full_bio,age,hometown,education,experience,photo_url
http://1500dental.com/our-team,"Andrew Forrest D.M.D., M.S.","Periodontics, Dental Implants, and Dental Surgery",,,,,
http://1500dental.com/our-team,Javier Martinez D.D.S.,Cosmetic and General Dentistry,,,,,
http://1500dental.com/our-team,Ines Orta D.D.S.,General Dentistry,,,,,
http://1500dental.com/our-team,"Janise Morales D.M.D., M.S.",Orthodontist,,,,,
http://1500dental.com/our-team,Barbara Veloz D.M.D.,General Dentistry,,,,,
http://1500dental.com/our-team,Rafaella Correa-Pinto D.M.D.,"Cosmetic, Holistic, and General Dentistry",,,,,
http://18thstreetdental.com/index.php/meet-the-doctor,Dr. Faisal Mir,"Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a Certified Invisalign Preferred Provider (clear braces). Dr. Mir values the importance of high quality patient care and satisfaction. He has extensive knowledge and experience using state of the art technology and techniques to ensure his patient’s dental visit is a pleasant one. Dr. Mir is a member of the Academy of General Dentistry, American Dental Association, DC Dental Society, and Virginia Dental Association. He continues to attend educational seminars to provide his patients with the latest treatment options using evidenced-based and cutting-edge technological advances and methods. For fun, he enjoys hiking, traveling, spending time with his family and getting to know different cultures around the world.",,,Howard University College of Dentistry,"Completed residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Extensive training in endodontic therapy and periodontal surgery. Certified Invisalign Preferred Provider.",
http://1stdentalcareillinois.com/team,,,,,,,
https://www.202dentalcare.com/meet-dr-mesfin,Dr. Tefesehet Mesfin,"Dr. Tefesehet Mesfin, the founder of 202 Dental Care, believes in providing a truly relaxing dental services focused on excellence and patient comfort. It’s her aim to make you feel so relaxed it feels like sipping coffee with an old friend. Dr. Mesfin has been practicing dentistry in Washington, D.C. for the last six years serving patients living and working in the Washington Metropolitan region. A two-time Ivy league graduate, Dr. Mesfin graduated from University of Pennsylvania in Biomedical Engineering. She then earned her Doctor of Dental Surgery from the Columbia University in New York City. Philippines Dental mission trip She continued her studies by completing a post-doctoral residency in general dentistry at Bronx-Lebanon Hospital in NYC. While working at the Hospital she focused her time on root canal treatments, oral surgery, bridges, and crowns. Dr. Mesfin is a strong believer in continuing education; she continually fortifies and develops her dentistry skills by completing extensive continuing education programs each year. She wants to stay on top of the latest leading-edge dental developments to offer patients complete, individualized dental care including cosmetic, restorative and surgical services. Dr. Mesfin is proud to be a member of the American Dental Association. When not providing top-quality dental care to her valued patients or working pro bono to make a difference, Dr. Mesfin's multicultural interests extend to travel, photography, spinning, and spending time with family and friends. Dr. Mesfin's vision of a dentistry based on kindness and comfort is underlined by her pro bono work locally and internationally in Ethiopia, Cambodia, Guatemala, and the Philippines. Her goal is to provide the less fortunate around the world with the dental care that they deserve - because everyone smiles in the same language! As a member of the Washington DC community, Dr. Mesfin believes her fellow citizens deserve the very best in dental care. She is pleased to offer leading-edge treatments in a comforting environment where the patient really does come first.",,,"University of Pennsylvania in Biomedical Engineering, Columbia University in New York City (Doctor of Dental Surgery), post-doctoral residency in general dentistry at Bronx-Lebanon Hospital in NYC","Practicing dentistry in Washington, D.C. for the last six years",
http://2032familydentistry.com/MeetTheTeam.aspx,Dr. Thaddeus Harvey,"Dr. Thaddeus Harvey Jr. was born in Macon, Georgia and raised in Roberta, GA . A product of the local public school system, Dr. Harvey was faced with limited resources. With help from dedicated faculty and staff, he made the best of his situation and thrived in primary school . In his spare time, he managed to letter in sports and participate in many volunteer events around his community. While in high school, he was given the opportunity to participate in the Pipeline Prehealth program at Fort Valley State University. This pre-med program would prove to be the building blocks of his career in healthcare. Upon graduation from High school with honors, Dr. Harvey matriculated to Fort Valley State University. While in college, Dr. Harvey remained active in the Pipeline Prehealth program. He also shadowed several healthcare providers and found an affinity to the field of dentistry. Dr. Harvey began Dental School at Howard University in the Fall of 2003 and graduated with honors in 2007. Upon graduation, he attended a general practice residency at Jackson Memorial Hospital in Miami, Florida. Today he practices dentistry in Atlanta, GA and finds most enjoyment in dental implantology. When away from work, he enjoys spending time with his lovely wife Candace and children, Zoe (5) and Carter (3).",,"Macon, Georgia",Fort Valley State University; Howard University,"General practice residency at Jackson Memorial Hospital in Miami, Florida; practice dentistry in Atlanta, GA",
http://2032familydentistry.com/MeetTheTeam.aspx,Dr. Candace Harvey,"Dr. Candace Harvey was raised in the small, rural town of St. Matthews, South Carolina. She graduated from South Carolina State University, in Orangeburg, South Carolina, with a Bachelors of Science degree in Biology. Shortly afterwards, Dr. Harvey was accepted into Howard University College of Dentistry, in Washington, DC, where she obtained her Doctorate of Dental Surgery degree in May 2007. She then completed a one-year general practice residency at Saint Francis Hospital and Medical Center in Hartford, Connecticut. Dr. Harvey moved to the Atlanta metro area in 2009. After working with both adults and children, Dr. Harvey realized that her true passion was working with children. Although she is a General Dentist, Dr. Harvey has decided to devote her primary focus towards Pediatric Dentistry. Dr. Harvey is married and has two beautiful children. She enjoys traveling, reading and partaking in any outdoor sport or activity, but most important, she enjoys spending quality time with her husband, Thaddeus and their beautiful children, Zoe and Carter.",,"St. Matthews, South Carolina",South Carolina State University; Howard University College of Dentistry,"One-year general practice residency at Saint Francis Hospital and Medical Center; focus on Pediatric Dentistry in Atlanta, GA",
http://21stindy.com/meet-our-team#mariam-kaldas-dds,,,,,,,
http://23smiles.com/team,"Michael J. Young, DDS","Dr. Young's experience, training, and new technology will give you and your loved ones a brighter, healthier smile. We now offer complete dental implant and orthodontic treatment! As a family and implant dentist, Dr. Michael J. Young provides exceptional, compassionate care. With an office in Lafayette, Dr. Young performs a full range of dental services, from routine preventive cleanings to advanced restorative and cosmetic procedures. In every case, our team places great importance on patient comfort and convenience. That is why we proudly offer sedation options, convenient financing, and back-to-back appointments for family members. Dr. Young is also committed to ongoing education to bring you the latest treatment options. As a member of both the Academy of General Dentistry and the American Academy of Cosmetic Dentistry, he has undertaken rigorous training in contemporary procedures, such as dental implant placement and same-day crowns.",,,"Dr. Young began his collegiate career at Louisiana State University at Eunice, where he studied basic science and nursing. He then moved on to Louisiana State University at Baton Rouge to pursue a biochemistry degree with the intent of applying to dental school. Dr. Young began his dental education at Louisiana State University (LSU) School of Dentistry in 1999 and graduated in 2003.","He worked as an associate dentist and completed many hours of continuing education, including training in dental implants and cosmetic dentistry. After two years as an associate dentist, Dr. Young opened his own dental practice in 2005. Dr. Young completed dental implant training at Misch Resnik Implant Institute in California, in 2016-17. He has also completed the Progressive Orthodonitic Seminars Program, a part of the McGann Postgraduate School of Dentistry.",
http://360familydental.com/team,,,,,,,
http://3stardentalcenters.com/team,,,,,,,
http://63familydental.com/meet-the-doctors,"Dr. Rory Chong, DDS","Dr. Chong was born and raised in Toronto, Canada, where he studied at the University of Toronto obtaining his degree in Industrial Engineering and Applied Mathematics. Thereafter, he went on to complete his dental education at New York University where he graduated amongst the top of his class and was inducted into the Omicron Kappa Upsilon National Dental Honor Society. It is needless to say but his passion to educate has given him the opportunity to present case studies at conferences, lead study clubs, and train at world class dental institutions. Dr. Chong completed his orthodontic residency at the University of Illinois in Chicago while excelling at the top of his class with accolades such as winner of a National Invisalign Award. During his tenure at UIC he also obtained a Masters degree for his research involving the development of a novel method for analysis of tooth movement in 3D. Dr. Chong is a caring and talented dentist who possesses the highest qualifications and is well skilled in all aspects of orthodontics. He is an adept practitioner committed to providing the best care available personalized for each family member.",,"Toronto, Canada","University of Toronto, New York University, University of Illinois",Completed orthodontic residency; presented case studies; led study clubs; trained at world class dental institutions.,
http://63familydental.com/meet-the-doctors,"Dr. Mohammed Al Rubaie, DMD","After graduating dental school, Dr AlRubaie finished a 2 year residency program in advanced education in general dentistry from Miami, Florida and practiced for 6 years as a general dentist in Illinois and Florida. Afterwards, Dr AlRubaie joined a 3 year dual degree residency program in Periodontology and Master of Science at Nova Southeastern University/College of Dental medicine in Fort Lauderdale, Florida. Dr AlRubaie is a board eligible periodontist and has a great passion for his field. Dr AlRubaie did his Master thesis about dental implants and he has published in peer reviewed journals. During his spare time, He enjoys practicing kickboxing and travels for scuba diving spots all over the world.",,,Nova Southeastern University/College of Dental medicine,Practiced for 6 years as a general dentist; completed dual degree residency in Periodontology.,
https://7oclockdental.com/about-us/meet-the-team/,Dr. John C. Tripp,"Meet The Team Always Feel Welcomed by Our New Orleans Dental Team Our New Orleans dental team is dedicated to providing compassionate, professional care. You’ll be treated like an individual at 7 O’Clock Dental, LLC, not a number. We enjoy getting to know our patients and creating an atmosphere that’s relaxing and casual. We’ll take time to answer all your questions and assist you with everything from scheduling to payment. You’ll always feel welcome at our office! Darlene Office Manager Darlene has worked in dentistry for more than three decades! She joined our team in 2015. Darlene has experience and training in radiology and as a CPR instructor. She enjoys teaching patients about their oral health. She likes painting, drawing, gardening, and family time.",,,,,
http://916dental.com/team,,,,,,,
https://aaoralfacial.com/our-team/,Dr. David N Faircloth,,,,,,
https://aaoralfacial.com/our-team/,Dr. Richard J Bakeman,,,,,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Carden, Nick, Ph.D","Behavioral Health AAPHC Covenant Counseling Moultrie, GA (Colquitt) AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Moultrie, GA (Colquitt)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Chigbu, Chihurum A., RN, BSN, MSN/PMHNP","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Christian, Alesia, LCSW","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Coleman, Wallace P., D.M., D.D., M.S., M.A., LPC","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
http://aaphc.org/services/behavioral-health/meet-our-providers,"Fryer, Joan, LPC","Behavioral Health AAPHC Renaissance Center Albany, GA (Dougherty) Read more ...",,"Albany, GA (Dougherty)",,,
