website,full_name,full_bio,age,hometown,education,experience,photo_url
https://18thstreetdental.com/index.php/meet-the-doctor,Dr. Faisal Mir,Dr. Faisal Mir,,,,,
https://18thstreetdental.com/index.php/meet-the-doctor,"Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a","Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a
Certified Invisalign Preferred Provider
(clear braces).",,,"Dr. Faisal Mir is a distinguished graduate of Howard University College of Dentistry. He completed his residency training at the College of Physicians & Surgeons of Columbia University in New York City, New York. Dr. Mir is trained as a general dentist focusing on cosmetic, and restorative dentistry. He has extensive training in endodontic therapy (root canal treatment), and periodontal surgery (gum treatment). He is also a",,
https://18thstreetdental.com/index.php/meet-the-doctor,Dr. Mir values the importance of high quality patient care and satisfaction. He has extensive knowledge and experience using state of the art technology and techniques to ensure his patient’s dental visit is a pleasant one.,Dr. Mir values the importance of high quality patient care and satisfaction. He has extensive knowledge and experience using state of the art technology and techniques to ensure his patient’s dental visit is a pleasant one.,,,,Dr. Mir values the importance of high quality patient care and satisfaction. He has extensive knowledge and experience using state of the art technology and techniques to ensure his patient’s dental visit is a pleasant one.,
https://18thstreetdental.com/index.php/meet-the-doctor,"Dr. Mir is a member of the Academy of General Dentistry, American Dental Association, DC Dental Society, and Virginia Dental Association. He continues to attend educational seminars to provide his patients with the latest treatment options using evidenced-based and cutting-edge technological advances and methods.","Dr. Mir is a member of the Academy of General Dentistry, American Dental Association, DC Dental Society, and Virginia Dental Association. He continues to attend educational seminars to provide his patients with the latest treatment options using evidenced-based and cutting-edge technological advances and methods.
For fun, he enjoys hiking, traveling, spending time with his family and getting to know different cultures around the world.
Conveniently Located on 18th Street
Metro Access
We are accessible via the Blue, Silver and Orange Lines. We are conveniently located a block away from Farragut West Station.
More
Metrobus
The 90 and 96 Metrobus stops directly in front of our office on 18th Street.
More
Convenient and Flexible Office Hours
Monday-Friday
7:30am To 4pm
More
Metro Access
We are accessible via the Green and Red Lines.  The closest stations are U St./Cardozo (green line) and Duont Circle (red line).  Both stations are about a 20 minute walk from our office.
More
Metrobus
Convenient and Flexible Office Hours
More
Convenient and Flexible Office Hours
Monday-Friday
7:30am To 4pm
More
Designed by ECMWORX",,,,,
http://www.paramountfamilydental.com/staff,Dr. John Hisel,"Dr. John
Hisel",,,,,
http://www.paramountfamilydental.com/staff,"Dr. Hisel was raised in the Boise area after moving with his family from California at age 4. He attended Boise schools graduating in 1978 from Boise High School along with his high school sweetheart, Terri. They were married shortly after high school and celebrate 46 years of marriage in March 2025! Together they have 2 married children and 6 grandchildren. Dr. Hisel and Terri make their home in Kuna along with a blind Springer Spaniel named Pippa and 2 horses.","Dr. Hisel was raised in the Boise area after moving with his family from California at age 4. He attended Boise schools graduating in 1978 from Boise High School along with his high school sweetheart, Terri. They were married shortly after high school and celebrate 46 years of marriage in March 2025! Together they have 2 married children and 6 grandchildren. Dr. Hisel and Terri make their home in Kuna along with a blind Springer Spaniel named Pippa and 2 horses.",,,"Dr. Hisel was raised in the Boise area after moving with his family from California at age 4. He attended Boise schools graduating in 1978 from Boise High School along with his high school sweetheart, Terri. They were married shortly after high school and celebrate 46 years of marriage in March 2025! Together they have 2 married children and 6 grandchildren. Dr. Hisel and Terri make their home in Kuna along with a blind Springer Spaniel named Pippa and 2 horses.","Dr. Hisel was raised in the Boise area after moving with his family from California at age 4. He attended Boise schools graduating in 1978 from Boise High School along with his high school sweetheart, Terri. They were married shortly after high school and celebrate 46 years of marriage in March 2025! Together they have 2 married children and 6 grandchildren. Dr. Hisel and Terri make their home in Kuna along with a blind Springer Spaniel named Pippa and 2 horses.",
http://www.paramountfamilydental.com/staff,"Immediately after high school, Dr. Hisel attended College of Idaho graduating Cum Laude in 1982. It was during these college years they welcomed son, John III into their family.  Dr. Hisel was accepted into the pilot program of the Idaho Dental Education Program and he and Terri moved to Pocatello, Idaho for his first year of dental school.","Immediately after high school, Dr. Hisel attended College of Idaho graduating Cum Laude in 1982. It was during these college years they welcomed son, John III into their family.  Dr. Hisel was accepted into the pilot program of the Idaho Dental Education Program and he and Terri moved to Pocatello, Idaho for his first year of dental school.",,,"Immediately after high school, Dr. Hisel attended College of Idaho graduating Cum Laude in 1982. It was during these college years they welcomed son, John III into their family.  Dr. Hisel was accepted into the pilot program of the Idaho Dental Education Program and he and Terri moved to Pocatello, Idaho for his first year of dental school.","Immediately after high school, Dr. Hisel attended College of Idaho graduating Cum Laude in 1982. It was during these college years they welcomed son, John III into their family.  Dr. Hisel was accepted into the pilot program of the Idaho Dental Education Program and he and Terri moved to Pocatello, Idaho for his first year of dental school.",
http://www.paramountfamilydental.com/staff,"9 months later they moved to Omaha, Nebraska where Dr. Hisel would attend Creighton’s Boyne School of Dental Science, graduating Suma Cum Laude in 1986. It was also during this year they welcomed daughter, Melissa into their family.  Dr. Hisel became a Captain in the United States Air Force in Fall of 1985, completing his General Practice Residency Training at Offutt Air Force Base Nebraska. After 2 years of General Duty at Fairchild Air Force Base, WA, Dr. Hisel and Terri set up Private Practice in Boise in August 1989.","9 months later they moved to Omaha, Nebraska where Dr. Hisel would attend Creighton’s Boyne School of Dental Science, graduating Suma Cum Laude in 1986. It was also during this year they welcomed daughter, Melissa into their family.  Dr. Hisel became a Captain in the United States Air Force in Fall of 1985, completing his General Practice Residency Training at Offutt Air Force Base Nebraska. After 2 years of General Duty at Fairchild Air Force Base, WA, Dr. Hisel and Terri set up Private Practice in Boise in August 1989.
Their son, John E Hisel, III is the Lead Pastor at Engage Boise and is married to Chandra who is a CPA in Meridian. John and Chandra have 4 children: Kristina, John IV,  Luke and Hope.
Their daughter Melissa is a Pediatric Registered Dietitian and is a Principal Medical Liaison at Baxter Healthcare Corporation.  Melissa is married to Kent, who is a Physical Therapist employed at St. Luke’s Rehabilitation Hospital. Together they have 2 girls: Ainsley and Kinzlee.
Professional Info",,,"9 months later they moved to Omaha, Nebraska where Dr. Hisel would attend Creighton’s Boyne School of Dental Science, graduating Suma Cum Laude in 1986. It was also during this year they welcomed daughter, Melissa into their family.  Dr. Hisel became a Captain in the United States Air Force in Fall of 1985, completing his General Practice Residency Training at Offutt Air Force Base Nebraska. After 2 years of General Duty at Fairchild Air Force Base, WA, Dr. Hisel and Terri set up Private Practice in Boise in August 1989.","9 months later they moved to Omaha, Nebraska where Dr. Hisel would attend Creighton’s Boyne School of Dental Science, graduating Suma Cum Laude in 1986. It was also during this year they welcomed daughter, Melissa into their family.  Dr. Hisel became a Captain in the United States Air Force in Fall of 1985, completing his General Practice Residency Training at Offutt Air Force Base Nebraska. After 2 years of General Duty at Fairchild Air Force Base, WA, Dr. Hisel and Terri set up Private Practice in Boise in August 1989.",
http://www.paramountfamilydental.com/staff,"Professionally, Dr. Hisel is active in numerous dental organizations including the American Dental Association, the Academy of General Dentistry, the Christian Medical and Dental Association, the Idaho State Dental Association, and the Southwest Idaho Dental Society. Dr. Hisel is also a member of the International College of Dentists-USA Section, and the Pierre Fauchard Academy for Dentists – both of which are dental organizations honoring Dentists for their continued commitment to Dentistry and service to their community. Dr. Hisel served the Idaho State Dental Society as its President in 2016-2017 and was awarded the ISDA’s President’s Award in 2018. In June 2021 Dr. Hisel was honored to receive the ISDA’s Lifetime Achievement Award.  Dr. Hisel has served as one of Idaho’s Delegates to the American Dental Association’s House of Delegates, as a member of the ISDA’s Legislative Committee and also has served our state as a consultant to the Idaho State Board of Dentistry. Dr. Hisel represented Idaho, Montana, Alaska, Oregon, and Washington on the Council of Government Affairs for the American Dental Association, and currently serves as a member of the Board of Trustees for the American Dental Association.","Professionally, Dr. Hisel is active in numerous dental organizations including the American Dental Association, the Academy of General Dentistry, the Christian Medical and Dental Association, the Idaho State Dental Association, and the Southwest Idaho Dental Society. Dr. Hisel is also a member of the International College of Dentists-USA Section, and the Pierre Fauchard Academy for Dentists – both of which are dental organizations honoring Dentists for their continued commitment to Dentistry and service to their community. Dr. Hisel served the Idaho State Dental Society as its President in 2016-2017 and was awarded the ISDA’s President’s Award in 2018. In June 2021 Dr. Hisel was honored to receive the ISDA’s Lifetime Achievement Award.  Dr. Hisel has served as one of Idaho’s Delegates to the American Dental Association’s House of Delegates, as a member of the ISDA’s Legislative Committee and also has served our state as a consultant to the Idaho State Board of Dentistry. Dr. Hisel represented Idaho, Montana, Alaska, Oregon, and Washington on the Council of Government Affairs for the American Dental Association, and currently serves as a member of the Board of Trustees for the American Dental Association.
Volunteer Work",,,"Professionally, Dr. Hisel is active in numerous dental organizations including the American Dental Association, the Academy of General Dentistry, the Christian Medical and Dental Association, the Idaho State Dental Association, and the Southwest Idaho Dental Society. Dr. Hisel is also a member of the International College of Dentists-USA Section, and the Pierre Fauchard Academy for Dentists – both of which are dental organizations honoring Dentists for their continued commitment to Dentistry and service to their community. Dr. Hisel served the Idaho State Dental Society as its President in 2016-2017 and was awarded the ISDA’s President’s Award in 2018. In June 2021 Dr. Hisel was honored to receive the ISDA’s Lifetime Achievement Award.  Dr. Hisel has served as one of Idaho’s Delegates to the American Dental Association’s House of Delegates, as a member of the ISDA’s Legislative Committee and also has served our state as a consultant to the Idaho State Board of Dentistry. Dr. Hisel represented Idaho, Montana, Alaska, Oregon, and Washington on the Council of Government Affairs for the American Dental Association, and currently serves as a member of the Board of Trustees for the American Dental Association.",,
http://www.paramountfamilydental.com/staff,"When he is not in our office, Dr. Hisel travels for the American Dental Association or can be found volunteering in any number of dental related community projects. He has served as a team Dentist for the Idaho Steelheads, was a member of the Idaho Dental Forensics Team and was on staff at St. Alphonsus Regional Medical Center for 25 years. Together with daughter Melissa, he serves on the Board of Directors for Idaho’s Fellowship of Christian Athletes. Dr. Hisel and his wife Terri have always been a great team and together they developed and continue to be a part of a free dental clinic in Garden City which exists today as Genesis Community Health.","When he is not in our office, Dr. Hisel travels for the American Dental Association or can be found volunteering in any number of dental related community projects. He has served as a team Dentist for the Idaho Steelheads, was a member of the Idaho Dental Forensics Team and was on staff at St. Alphonsus Regional Medical Center for 25 years. Together with daughter Melissa, he serves on the Board of Directors for Idaho’s Fellowship of Christian Athletes. Dr. Hisel and his wife Terri have always been a great team and together they developed and continue to be a part of a free dental clinic in Garden City which exists today as Genesis Community Health.",,,,"When he is not in our office, Dr. Hisel travels for the American Dental Association or can be found volunteering in any number of dental related community projects. He has served as a team Dentist for the Idaho Steelheads, was a member of the Idaho Dental Forensics Team and was on staff at St. Alphonsus Regional Medical Center for 25 years. Together with daughter Melissa, he serves on the Board of Directors for Idaho’s Fellowship of Christian Athletes. Dr. Hisel and his wife Terri have always been a great team and together they developed and continue to be a part of a free dental clinic in Garden City which exists today as Genesis Community Health.",
